setup,bars_forward,minutes_forward,n,win_rate,median_ret,mean_ret,expectancy,std_ret,sharpe
setup_h1_trend_pullback_long,11,132,45517,0.526418700705231,0.0001162998210694755,0.00022027844159614208,0.00021911661479235038,0.002990120787325755,4.648619244484453
setup_h1_trend_pullback_long,12,144,45517,0.52571566667399,0.00012180128896031405,0.0002314886947232881,0.000229253016923838,0.0031512215450076576,4.438102019739289
setup_h1_trend_pullback_long,13,156,45517,0.5257596063009425,0.00012762297128714688,0.00024500399634212137,0.00024345952787702412,0.0032841400602945676,4.330288952655847
setup_h1_trend_pullback_long,14,168,45517,0.5268141573478041,0.00013756244465078812,0.0002585823861056758,0.00025692182827299036,0.0034150964237629877,4.23515203843613
setup_h1_trend_pullback_long,15,180,45517,0.5263088516378496,0.00014059021879721148,0.0002697295893861404,0.00026795543107405455,0.0035398480796614193,4.117516927298414
setup_h1_trend_pullback_long,16,192,45516,0.5273969593110115,0.00014341613592606305,0.000281256011723107,0.00027940855618031955,0.0036685063318238594,4.011341207938962
setup_h1_trend_pullback_long,17,204,45516,0.5276825731610862,0.00015730305984574326,0.0002925538575231471,0.00029110398214917256,0.0038074072459297888,3.900219878205321
setup_h1_trend_pullback_long,18,216,45515,0.5265516862572778,0.00015587606967113873,0.0003057077911987167,0.0003035191947601359,0.003930569170326071,3.83664720993983
setup_h1_trend_pullback_long,19,228,45515,0.5265516862572778,0.00015686232118081343,0.0003197128331327597,0.0003182822257313915,0.004058119513714438,3.7826441803587225
setup_h1_trend_pullback_long,20,240,45515,0.525584971987257,0.0001604961391777358,0.00033145436054879147,0.00032969884346395625,0.004176523626621461,3.7139055238559875
