setup,day_of_week,horizon,n,win_rate,expectancy,profit_factor
setup_h4_vol_compress,Wed,M12_5,1434,0.5404463040446305,1.4509032258085586e-05,1.0456586331264597
setup_h4_vol_compress,Wed,M12_10,1434,0.5223152022315202,-1.4208653045242594e-05,0.9810894686959578
setup_h4_vol_compress,Wed,H1_1,1434,0.5404463040446305,1.4509032258085586e-05,1.0456586331264597
setup_h4_vol_compress,Wed,H1_3,1434,0.5111576011157601,-5.4838544270743904e-05,0.9285913735467552
setup_h4_vol_compress,Thu,M12_2,1538,0.5130039011703511,2.963141143791183e-05,1.1428749585285352
setup_h4_vol_compress,Thu,M12_5,1538,0.5182054616384916,0.00010187119470658084,1.3247986917222525
setup_h4_vol_compress,Thu,M12_10,1538,0.5799739921976593,0.00023412987144802054,1.5349916831614772
setup_h4_vol_compress,Thu,H1_1,1538,0.5182054616384916,0.00010187119470658084,1.3247986917222525
setup_h4_vol_compress,Thu,H1_3,1538,0.6014304291287387,0.00032805451336259174,1.5591171036847455
setup_h4_vol_compress,Fri,M12_2,1471,0.5193745751189667,0.00010664342343885949,1.456401130213265
setup_h4_vol_compress,Fri,M12_5,1471,0.5499660095173351,0.0002716799896225436,1.6933889720461137
setup_h4_vol_compress,Fri,M12_10,1471,0.5526852481305234,0.00032422888818046545,1.5489420485359686
setup_h4_vol_compress,Fri,H1_1,1471,0.5499660095173351,0.0002716799896225436,1.6933889720461137
setup_h4_vol_compress,Fri,H1_3,1471,0.5370496261046906,0.0002839032167659478,1.3741464855645438
setup_h1_trend_pullback_long,Mon,M12_2,8268,0.5257619738751814,9.532188843935528e-05,1.2868135371319003
setup_h1_trend_pullback_long,Mon,M12_5,8268,0.5185050798258345,0.00015420058906357793,1.2858312565491716
setup_h1_trend_pullback_long,Mon,M12_10,8268,0.522133526850508,0.000255635844448236,1.3325278317584124
setup_h1_trend_pullback_long,Mon,H1_1,8268,0.5185050798258345,0.00015420058906357793,1.2858312565491716
setup_h1_trend_pullback_long,Mon,H1_3,8268,0.5285437832607643,0.0003611878939567242,1.3824582645593726
setup_h1_trend_pullback_long,Tue,M12_2,9262,0.5397322392571798,9.883294051331591e-05,1.3035090792380761
setup_h1_trend_pullback_long,Tue,M12_5,9262,0.5335780608939754,0.00017185161949625854,1.3314231146673268
setup_h1_trend_pullback_long,Tue,M12_10,9262,0.540488015547398,0.00024099706089383127,1.318887039854448
setup_h1_trend_pullback_long,Tue,H1_1,9262,0.5335780608939754,0.00017185161949625854,1.3314231146673268
setup_h1_trend_pullback_long,Tue,H1_3,9262,0.544050960915569,0.00034700764638778594,1.3705816567513975
setup_h1_trend_pullback_long,Wed,M12_2,9533,0.5212420014685828,8.181360168010469e-05,1.2425284952227107
setup_h1_trend_pullback_long,Wed,M12_5,9533,0.5244938634217979,0.0001281105751499721,1.2294441224577912
setup_h1_trend_pullback_long,Wed,M12_10,9533,0.510227630336725,0.00015255855802167153,1.1850666075022527
setup_h1_trend_pullback_long,Wed,H1_1,9533,0.5244938634217979,0.0001281105751499721,1.2294441224577912
setup_h1_trend_pullback_long,Wed,H1_3,9533,0.5052973880205601,0.00017891993681329755,1.1725172531471608
setup_h1_trend_pullback_long,Thu,M12_2,8895,0.5386172006745362,9.46984517607731e-05,1.291922365862179
setup_h1_trend_pullback_long,Thu,M12_5,8895,0.5302979201798763,0.00011620088278828334,1.2079496012698476
setup_h1_trend_pullback_long,Thu,M12_10,8895,0.5269252388982575,0.0001279036787755082,1.152998247094491
setup_h1_trend_pullback_long,Thu,H1_1,8895,0.5302979201798763,0.00011620088278828334,1.2079496012698476
setup_h1_trend_pullback_long,Thu,H1_3,8895,0.5277121978639685,0.00018326711345683982,1.1715391654699088
setup_h1_trend_pullback_long,Fri,M12_2,9564,0.5386867419489754,0.00010892041769014867,1.3286766367558895
setup_h1_trend_pullback_long,Fri,M12_5,9563,0.5380110843877445,0.00017902830698497522,1.3194004650086029
setup_h1_trend_pullback_long,Fri,M12_10,9560,0.5264644351464435,0.0002526393580466464,1.2958855736793413
setup_h1_trend_pullback_long,Fri,H1_1,9563,0.5380110843877445,0.00017902830698497522,1.3194004650086029
setup_h1_trend_pullback_long,Fri,H1_3,9559,0.5268333507689089,0.0002784180267261687,1.2469849280938754
