setup,context,horizon,n,win_rate,expectancy,profit_factor
confluence_d1_h4_h1_long,vol_normal,M12_5,9817,0.5909137210960579,0.0004216999795468502,2.0733435329351075
confluence_d1_h4_h1_long,vol_normal,M12_10,9817,0.6155648365080982,0.000759437330131227,2.501192723512525
confluence_d1_h4_h1_long,vol_normal,H1_1,9817,0.5909137210960579,0.0004216999795468502,2.0733435329351075
confluence_d1_h4_h1_long,vol_normal,H1_3,9817,0.6356320668228583,0.0011158684748753633,2.9203734511040444
setup_h4_vol_compress,d1_strong_up,M12_2,1671,0.533213644524237,7.646583724392199e-05,1.3951632994240806
setup_h4_vol_compress,d1_strong_up,M12_5,1671,0.5481747456612807,0.0002274323445825202,1.8353620030886364
setup_h4_vol_compress,d1_strong_up,M12_10,1671,0.5930580490724118,0.0004385138953001522,2.2112481427860713
setup_h4_vol_compress,d1_strong_up,H1_1,1671,0.5481747456612807,0.0002274323445825202,1.8353620030886364
setup_h4_vol_compress,d1_strong_up,H1_3,1671,0.634949132256134,0.0006124175724125322,2.3774695092471423
setup_h4_vol_compress,d1_strong_down,M12_2,1671,0.47456612806702575,-4.6204169181736864e-05,0.8428370658697348
setup_h4_vol_compress,d1_strong_down,M12_5,1671,0.45840813883901854,-0.00015776910318685727,0.7083797906170735
setup_h4_vol_compress,d1_strong_down,M12_10,1671,0.42190305206463197,-0.00036740376272070255,0.5949435478634605
setup_h4_vol_compress,d1_strong_down,H1_1,1671,0.45840813883901854,-0.00015776910318685727,0.7083797906170735
setup_h4_vol_compress,d1_strong_down,H1_3,1671,0.39916217833632556,-0.0005718600037981716,0.5298223844312043
setup_h4_vol_compress,d1_neutral,M12_2,3354,0.5134168157423972,6.052391107792181e-05,1.307978750438583
setup_h4_vol_compress,d1_neutral,M12_5,3354,0.545020870602266,0.00016392682713270294,1.5693994542790086
setup_h4_vol_compress,d1_neutral,M12_10,3354,0.5855694692903995,0.0002753609710900734,1.7020912738317606
setup_h4_vol_compress,d1_neutral,H1_1,3354,0.545020870602266,0.00016392682713270294,1.5693994542790086
setup_h4_vol_compress,d1_neutral,H1_3,3354,0.5924269528920691,0.00032953226505321137,1.655556395682085
setup_h4_vol_compress,h4_up,M12_2,3518,0.5147811256395679,5.726375549385129e-05,1.28052704323426
